gpg-signatures,git 1,https://github.com/aabacchus/kiss-repo,gpg-signatures,
snownews,git 1,https://github.com/aabacchus/kiss-repo,snownews,
colorpicker,git 1,https://github.com/aabacchus/kiss-repo,colorpicker,
kiss,5.5.17 1,https://github.com/aabacchus/kiss-repo,forks/kiss,
neomutt,20210205 1,https://github.com/aabacchus/kiss-repo,neomutt,
thinkfan,1.2.2 1,https://github.com/aabacchus/kiss-repo,thinkfan,
xmenu,4.5.5 1,https://github.com/aabacchus/kiss-repo,xmenu,
glm,0.9.9.8 1,https://github.com/aabacchus/kiss-repo,glm,
libxdg-basedir,1.2.3 1,https://github.com/aabacchus/kiss-repo,libxdg-basedir,
libetpan,1.9.4 1,https://github.com/aabacchus/kiss-repo,libetpan,
log4cxx,0.11.0 1,https://github.com/aabacchus/miktex-kiss-repo,log4cxx,
apr-util,1.6.1 1,https://github.com/aabacchus/miktex-kiss-repo,apr-util,
libmspack,0.10.1 1,https://github.com/aabacchus/miktex-kiss-repo,libmspack,
potrace,1.16 1,https://github.com/aabacchus/miktex-kiss-repo,potrace,
hunspell,1.7.0 1,https://github.com/aabacchus/miktex-kiss-repo,hunspell,
